make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
4,53,2013,1800,196000,,Metropolitana de Santiago,9800000,0,1,0,11
31,382,2011,,120000,,IV Coquimbo,14900000,0,1,,13
27,352,2021,1100,95000,,V Valparaíso,5000000,0,0,,3
43,5586,2019,1500,57000,,Valparaíso,8390000,0,1,0,5
33,410,2021,,100000,,Ñuble,7700000,0,0,,3
27,1691,2018,1200,58300,,V Valparaíso,8000000,0,0,0,6
59,718,2013,2000,158000,,Bío Bío,7200000,1,1,1,11
27,338,2010,,239000,,Metropolitana de Santiago,7000000,0,1,,14
202,5643,2020,,100000,,Región Metropolitana,1000000,1,0,0,4
20,293,2019,3500,79245,,Región Metropolitana,31800000,0,1,1,5
64,5900,2021,1600,59000,Marrón,Bío Bío,11790000,0,0,0,3
11,158,2020,1500,36640,,Región Metropolitana,6200000,0,0,,4
49,654,2022,1500,34000,,Metropolitana de Santiago,17500000,1,1,0,2
45,598,2016,,89530,Blanco,Los Lagos,13490000,0,1,0,8
27,346,2014,0,80000,,VII Maule,5500000,0,0,,10
40,470,2017,1600,118000,,Metropolitana de Santiago,9500000,0,0,0,7
16,6110,2012,6700,266000,,Región Metropolitana,2050000,1,1,,12
13,208,2023,1500,7000,,Coquimbo,21700000,1,1,0,1
202,5645,2022,3600,25000,,Región Metropolitana,38990000,0,1,,2
27,339,2006,2500,300000,,III Atacama,3500000,1,0,,18
20,293,2016,3500,131500,Plata,Metropolitana de Santiago,25900000,0,1,1,8
13,200,2022,,14500,,IX Araucanía,19990000,1,1,,2
43,586,2019,1500,39000,,X Los Lagos,7490000,0,1,,5
27,350,2005,1800,99999999999,,Maule,2650000,0,1,0,19
42,502,2012,,117000,Negro,Metropolitana de Santiago,23990000,0,1,,12
33,5994,2022,1500,8000,Blanco,Metropolitana de Santiago,13900000,0,0,0,2
47,620,2019,3500,89000,,Metropolitana de Santiago,15490000,0,1,,5
27,1691,2020,1200,34100,,Metropolitana de Santiago,8500000,0,0,0,4
49,654,2023,,21500,,Valparaíso,20990000,0,0,,1
31,382,2011,5700,76000,,IIAntofagasta,12000000,0,1,1,13
31,385,2017,2400,115000,,Metropolitana de Santiago,10800000,0,1,1,7
49,658,2008,1400,187000,,OHiggins,3600000,0,0,0,16
43,586,2020,1500,60000,,Maule,6890000,0,0,,4
33,5994,2021,2500,22464,,IV Coquimbo,12990000,0,0,0,3
21,1106,2019,,99999999999,,Metropolitana de Santiago,5000000,0,0,,5
59,721,2014,2000,124255,,Maule,7800000,0,0,0,10
47,609,2020,2500,47,,Metropolitana de Santiago,12500000,0,1,0,4
61,734,2018,1600,117261,Gris,Metropolitana de Santiago,10580000,0,1,0,6
61,750,1998,1600,330,,XVI Ñuble,2350000,0,0,,26
